node_id,x,y,lat,lon
N001,0,0,17.3,78.35
N002,1,0,17.3,78.368
N003,2,0,17.3,78.386
N004,3,0,17.3,78.404
N005,4,0,17.3,78.422
N006,5,0,17.3,78.44
N007,6,0,17.3,78.458
N008,7,0,17.3,78.476
N009,8,0,17.3,78.494
N010,9,0,17.3,78.512
N011,10,0,17.3,78.53
N012,11,0,17.3,78.548
N013,0,1,17.318,78.35
N014,1,1,17.318,78.368
N015,2,1,17.318,78.386
N016,3,1,17.318,78.404
N017,4,1,17.318,78.422
N018,5,1,17.318,78.44
N019,6,1,17.318,78.458
N020,7,1,17.318,78.476
N021,8,1,17.318,78.494
N022,9,1,17.318,78.512
N023,10,1,17.318,78.53
N024,11,1,17.318,78.548
N025,0,2,17.336,78.35
N026,1,2,17.336,78.368
N027,2,2,17.336,78.386
N028,3,2,17.336,78.404
N029,4,2,17.336,78.422
N030,5,2,17.336,78.44
N031,6,2,17.336,78.458
N032,7,2,17.336,78.476
N033,8,2,17.336,78.494
N034,9,2,17.336,78.512
N035,10,2,17.336,78.53
N036,11,2,17.336,78.548
N037,0,3,17.354,78.35
N038,1,3,17.354,78.368
N039,2,3,17.354,78.386
N040,3,3,17.354,78.404
N041,4,3,17.354,78.422
N042,5,3,17.354,78.44
N043,6,3,17.354,78.458
N044,7,3,17.354,78.476
N045,8,3,17.354,78.494
N046,9,3,17.354,78.512
N047,10,3,17.354,78.53
N048,11,3,17.354,78.548
N049,0,4,17.372,78.35
N050,1,4,17.372,78.368
N051,2,4,17.372,78.386
N052,3,4,17.372,78.404
N053,4,4,17.372,78.422
N054,5,4,17.372,78.44
N055,6,4,17.372,78.458
N056,7,4,17.372,78.476
N057,8,4,17.372,78.494
N058,9,4,17.372,78.512
N059,10,4,17.372,78.53
N060,11,4,17.372,78.548
N061,0,5,17.39,78.35
N062,1,5,17.39,78.368
N063,2,5,17.39,78.386
N064,3,5,17.39,78.404
N065,4,5,17.39,78.422
N066,5,5,17.39,78.44
N067,6,5,17.39,78.458
N068,7,5,17.39,78.476
N069,8,5,17.39,78.494
N070,9,5,17.39,78.512
N071,10,5,17.39,78.53
N072,11,5,17.39,78.548
N073,0,6,17.408,78.35
N074,1,6,17.408,78.368
N075,2,6,17.408,78.386
N076,3,6,17.408,78.404
N077,4,6,17.408,78.422
N078,5,6,17.408,78.44
N079,6,6,17.408,78.458
N080,7,6,17.408,78.476
N081,8,6,17.408,78.494
N082,9,6,17.408,78.512
N083,10,6,17.408,78.53
N084,11,6,17.408,78.548
N085,0,7,17.426,78.35
N086,1,7,17.426,78.368
N087,2,7,17.426,78.386
N088,3,7,17.426,78.404
N089,4,7,17.426,78.422
N090,5,7,17.426,78.44
N091,6,7,17.426,78.458
N092,7,7,17.426,78.476
N093,8,7,17.426,78.494
N094,9,7,17.426,78.512
N095,10,7,17.426,78.53
N096,11,7,17.426,78.548
N097,0,8,17.444,78.35
N098,1,8,17.444,78.368
N099,2,8,17.444,78.386
N100,3,8,17.444,78.404
N101,4,8,17.444,78.422
N102,5,8,17.444,78.44
N103,6,8,17.444,78.458
N104,7,8,17.444,78.476
N105,8,8,17.444,78.494
N106,9,8,17.444,78.512
N107,10,8,17.444,78.53
N108,11,8,17.444,78.548
N109,0,9,17.462,78.35
N110,1,9,17.462,78.368
N111,2,9,17.462,78.386
N112,3,9,17.462,78.404
N113,4,9,17.462,78.422
N114,5,9,17.462,78.44
N115,6,9,17.462,78.458
N116,7,9,17.462,78.476
N117,8,9,17.462,78.494
N118,9,9,17.462,78.512
N119,10,9,17.462,78.53
N120,11,9,17.462,78.548
