od_id,origin_node,destination_node,base_demand_vph,purpose
OD0001,N006,N081,326,commercial
OD0002,N002,N049,402,school
OD0003,N107,N025,84,mixed
OD0004,N032,N037,402,commercial
OD0005,N117,N082,127,commute
OD0006,N110,N112,244,mixed
OD0007,N032,N007,251,commute
OD0008,N080,N012,499,commercial
OD0009,N039,N077,155,mixed
OD0010,N099,N105,239,commercial
OD0011,N062,N025,168,commute
OD0012,N068,N017,183,mixed
OD0013,N102,N107,420,commute
OD0014,N092,N063,92,commute
OD0015,N040,N022,423,mixed
OD0016,N064,N108,439,mixed
OD0017,N004,N026,187,commercial
OD0018,N073,N062,426,school
OD0019,N003,N032,195,commute
OD0020,N013,N052,447,mixed
OD0021,N007,N118,312,commute
OD0022,N030,N041,226,commercial
OD0023,N003,N087,100,mixed
OD0024,N066,N012,297,school
OD0025,N013,N120,278,commercial
OD0026,N069,N004,251,commute
OD0027,N109,N036,220,mixed
OD0028,N006,N036,278,school
OD0029,N019,N084,286,commute
OD0030,N059,N110,131,mixed
OD0031,N115,N088,54,school
OD0032,N022,N070,200,mixed
OD0033,N098,N116,456,commute
OD0034,N090,N107,140,commercial
OD0035,N007,N105,482,commercial
OD0036,N100,N116,269,school
OD0037,N097,N010,132,school
OD0038,N062,N046,361,mixed
OD0039,N081,N056,350,commute
OD0040,N027,N119,154,commute
OD0041,N021,N090,119,commute
OD0042,N065,N077,209,mixed
OD0043,N110,N011,56,school
OD0044,N059,N079,348,commute
OD0045,N035,N048,434,commute
OD0046,N075,N043,201,mixed
OD0047,N019,N076,404,commute
OD0048,N034,N005,135,school
OD0049,N101,N078,347,commercial
OD0050,N050,N011,164,commute
OD0051,N063,N083,472,school
OD0052,N044,N095,275,commercial
OD0053,N035,N083,355,commercial
OD0054,N033,N098,300,school
OD0055,N057,N075,124,school
OD0056,N088,N097,125,school
OD0057,N057,N054,305,commute
OD0058,N080,N050,277,commercial
OD0059,N002,N028,212,mixed
OD0060,N039,N059,400,mixed
OD0061,N049,N040,499,mixed
OD0062,N114,N065,101,commute
OD0063,N047,N077,458,school
OD0064,N086,N066,390,commute
OD0065,N104,N004,144,commercial
OD0066,N089,N027,253,mixed
OD0067,N002,N012,83,commercial
OD0068,N076,N004,457,commute
OD0069,N086,N026,444,mixed
OD0070,N072,N114,145,school
OD0071,N103,N116,268,school
OD0072,N100,N099,244,mixed
OD0073,N049,N086,43,commute
OD0074,N106,N110,344,commute
OD0075,N004,N089,189,school
OD0076,N060,N025,54,commercial
OD0077,N039,N057,410,mixed
OD0078,N008,N114,158,mixed
OD0079,N103,N052,387,school
OD0080,N026,N116,436,school
OD0081,N086,N026,478,mixed
OD0082,N035,N032,308,commute
OD0083,N108,N050,120,commercial
OD0084,N097,N004,225,commercial
OD0085,N039,N113,146,mixed
