scenario_id,scenario_type,start_time,end_time,target_segment,incident_type,severity,candidate_interventions
TRAIN_SC_001,incident,2026-01-01 21:57:00,2026-01-01 22:40:00,R0067,stalled_vehicle,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_002,incident,2026-01-13 19:32:00,2026-01-13 20:05:00,R0230,demand_surge,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_003,incident,2026-01-11 13:47:00,2026-01-11 14:10:00,R0075,accident_like,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_004,incident,2026-01-07 13:21:00,2026-01-07 13:46:00,R0161,lane_blockage,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_005,incident,2026-01-02 08:53:00,2026-01-02 09:24:00,R0435,lane_blockage,3,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_006,incident,2026-01-15 07:51:00,2026-01-15 08:15:00,R0166,road_closure,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_007,incident,2026-01-15 17:52:00,2026-01-15 18:17:00,R0183,lane_blockage,3,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_008,incident,2026-01-14 13:05:00,2026-01-14 13:48:00,R0278,stalled_vehicle,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_009,incident,2026-01-10 16:36:00,2026-01-10 17:10:00,R0180,accident_like,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_010,incident,2026-01-11 07:16:00,2026-01-11 08:03:00,R0363,accident_like,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_011,incident,2026-01-12 17:31:00,2026-01-12 17:54:00,R0133,accident_like,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_012,incident,2026-01-04 20:43:00,2026-01-04 21:32:00,R0097,stalled_vehicle,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_013,incident,2026-01-02 16:44:00,2026-01-02 17:38:00,R0043,stalled_vehicle,3,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_014,incident,2026-01-07 14:20:00,2026-01-07 14:58:00,R0372,accident_like,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_015,incident,2026-01-09 10:28:00,2026-01-09 11:08:00,R0423,lane_blockage,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_016,incident,2026-01-09 11:54:00,2026-01-09 12:17:00,R0373,accident_like,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_017,incident,2026-01-05 06:03:00,2026-01-05 06:15:00,R0298,stalled_vehicle,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_018,incident,2026-01-04 16:12:00,2026-01-04 16:33:00,R0113,stalled_vehicle,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_019,incident,2026-01-01 06:13:00,2026-01-01 06:45:00,R0435,stalled_vehicle,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_020,incident,2026-01-12 12:17:00,2026-01-12 12:28:00,R0214,road_closure,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_021,incident,2026-01-13 07:36:00,2026-01-13 08:24:00,R0416,lane_blockage,3,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_022,incident,2026-01-03 20:50:00,2026-01-03 21:37:00,R0251,stalled_vehicle,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_023,incident,2026-01-02 11:58:00,2026-01-02 12:29:00,R0406,lane_blockage,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_024,incident,2026-01-01 15:04:00,2026-01-01 15:36:00,R0137,accident_like,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_025,incident,2026-01-15 06:17:00,2026-01-15 06:31:00,R0179,lane_blockage,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_026,incident,2026-01-08 07:44:00,2026-01-08 08:29:00,R0069,stalled_vehicle,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_027,incident,2026-01-12 09:58:00,2026-01-12 10:35:00,R0264,accident_like,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_028,incident,2026-01-15 20:47:00,2026-01-15 21:16:00,R0167,accident_like,1,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_029,incident,2026-01-06 13:48:00,2026-01-06 14:33:00,R0265,lane_blockage,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
TRAIN_SC_030,incident,2026-01-13 14:58:00,2026-01-13 15:10:00,R0211,accident_like,2,Use planning_candidates.csv; evaluate baseline vs counterfactual
