signal_id,node_id,cycle_s,green_ratio,offset_s
SIG001,N015,90,0.507,25
SIG002,N023,110,0.585,20
SIG003,N022,120,0.503,16
SIG004,N018,90,0.518,27
SIG005,N019,110,0.433,73
SIG006,N016,110,0.549,33
SIG007,N021,110,0.619,23
SIG008,N043,100,0.475,20
SIG009,N039,110,0.522,83
SIG010,N038,100,0.478,3
SIG011,N035,100,0.425,40
SIG012,N034,110,0.56,68
SIG013,N040,110,0.541,26
SIG014,N031,120,0.556,86
SIG015,N029,100,0.532,48
SIG016,N028,120,0.523,66
SIG017,N027,100,0.425,81
SIG018,N026,100,0.449,49
SIG019,N055,90,0.486,55
SIG020,N052,100,0.553,9
SIG021,N046,110,0.485,0
SIG022,N056,90,0.487,4
SIG023,N054,90,0.531,55
SIG024,N053,100,0.554,68
SIG025,N083,110,0.524,26
SIG026,N074,120,0.618,61
SIG027,N075,120,0.565,67
SIG028,N068,90,0.608,52
SIG029,N067,120,0.595,57
SIG030,N070,110,0.613,13
SIG031,N069,110,0.51,17
SIG032,N065,100,0.467,61
SIG033,N063,90,0.506,77
SIG034,N064,110,0.613,49
SIG035,N062,100,0.518,3
SIG036,N059,120,0.582,79
SIG037,N058,110,0.553,42
SIG038,N057,120,0.468,1
SIG039,N107,100,0.454,82
SIG040,N099,90,0.508,60
SIG041,N100,100,0.449,39
SIG042,N101,100,0.617,84
SIG043,N104,100,0.472,31
SIG044,N102,100,0.465,19
SIG045,N098,100,0.506,25
SIG046,N103,110,0.452,11
SIG047,N105,110,0.461,31
SIG048,N106,90,0.581,54
SIG049,N093,90,0.535,35
SIG050,N092,120,0.576,17
SIG051,N091,90,0.476,85
SIG052,N090,90,0.46,46
SIG053,N087,110,0.493,40
SIG054,N086,120,0.589,0
SIG055,N094,90,0.506,0
SIG056,N077,90,0.553,27
SIG057,N079,90,0.422,46
SIG058,N078,120,0.533,16
SIG059,N080,120,0.462,61
SIG060,N081,100,0.516,74
SIG061,N013,100,0.462,28
SIG062,N005,120,0.511,81
SIG063,N024,110,0.586,16
SIG064,N010,90,0.452,52
SIG065,N003,120,0.571,26
SIG066,N085,100,0.583,34
SIG067,N096,110,0.524,8
SIG068,N025,100,0.497,41
SIG069,N002,90,0.617,63
SIG070,N036,100,0.616,18
SIG071,N008,100,0.494,33
SIG072,N006,100,0.421,12
SIG073,N084,110,0.43,63
SIG074,N060,110,0.476,18
SIG075,N073,90,0.512,61
SIG076,N072,90,0.607,70
SIG077,N117,120,0.444,42
SIG078,N114,90,0.477,6
SIG079,N097,120,0.49,7
SIG080,N108,120,0.531,40
SIG081,N110,110,0.447,87
SIG082,N111,110,0.507,74
SIG083,N113,90,0.494,25
SIG084,N119,90,0.459,76
SIG085,N118,120,0.599,72
SIG086,N115,110,0.529,77
SIG087,N116,120,0.491,61
SIG088,N001,100,0.423,71
SIG089,N120,120,0.441,72
