node_id,from_segment,to_segment,restriction
N023,R0088,R0087,no_turn
N022,R0086,R0083,time_window
N019,R0027,R0073,no_turn
N021,R0035,R0079,no_left
N043,R0119,R0165,time_window
N039,R0103,R0147,time_window
N034,R0085,R0126,no_left
N040,R0107,R0148,no_turn
N031,R0120,R0119,no_turn
N027,R0057,R0098,time_window
N026,R0053,R0054,time_window
N055,R0212,R0166,time_window
N046,R0178,R0175,no_left
N056,R0209,R0215,no_left
N054,R0206,R0162,no_turn
N053,R0202,R0198,no_left
N083,R0318,R0274,no_left
N068,R0215,R0261,time_window
N067,R0258,R0255,time_window
N065,R0203,R0249,no_turn
N063,R0240,R0196,no_turn
N064,R0246,R0243,time_window
N058,R0224,R0221,no_left
N107,R0405,R0406,no_left
N101,R0381,R0342,no_left
N104,R0393,R0354,no_left
N102,R0345,R0391,no_turn
N103,R0394,R0395,time_window
N105,R0402,R0401,time_window
N093,R0356,R0312,no_turn
N092,R0347,R0348,time_window
N091,R0343,R0344,no_left
N086,R0283,R0284,time_window
N079,R0297,R0303,no_left
N078,R0298,R0294,time_window
N080,R0301,R0307,no_turn
N081,R0312,R0306,no_turn
N013,R0048,R0049,time_window
N005,R0018,R0019,no_turn
N024,R0087,R0091,time_window
N010,R0033,R0039,no_turn
N003,R0012,R0006,no_left
N085,R0279,R0280,no_left
N096,R0321,R0322,no_turn
N025,R0094,R0095,no_left
N002,R0008,R0007,time_window
N036,R0091,R0092,no_left
N008,R0025,R0031,no_turn
N006,R0022,R0021,time_window
N084,R0317,R0321,time_window
N060,R0225,R0184,time_window
N073,R0233,R0279,no_left
N072,R0276,R0230,no_turn
N117,R0429,R0404,no_left
N114,R0423,R0392,time_window
N097,R0370,R0369,time_window
N108,R0414,R0368,no_turn
N111,R0420,R0418,time_window
N115,R0425,R0427,no_left
N116,R0427,R0428,no_left
N120,R0413,R0414,no_turn
