segment_id,window_start,window_end,duration_min,readings_count,min_speed_ratio,min_flow_ratio,max_queue_ratio
R0382,2026-01-01 06:05:00,2026-01-01 06:10:00,5.0,2,0.6773683211340098,0.45417439703153983,0.0
R0342,2026-01-01 06:05:00,2026-01-01 06:15:00,10.0,3,0.6770942801381175,0.7295656199662536,0.0
R0341,2026-01-01 06:05:00,2026-01-01 06:15:00,10.0,3,0.42639636905224076,0.3291462430599882,0.0
R0385,2026-01-01 06:05:00,2026-01-01 06:15:00,10.0,3,0.6761056829203589,0.3835703906662571,0.0
R0339,2026-01-01 06:05:00,2026-01-01 06:10:00,5.0,2,0.676257229187306,0.6470667257890361,0.0
R0336,2026-01-01 06:05:00,2026-01-01 06:15:00,10.0,3,0.678951963425739,0.3036391427908758,0.0
R0296,2026-01-01 06:05:00,2026-01-01 06:15:00,10.0,2,0.6856870005772064,0.42511701958729464,0.0
R0340,2026-01-01 06:05:00,2026-01-01 06:10:00,5.0,2,0.6754249780014685,0.5812155252751681,0.0
R0388,2026-01-01 06:05:00,2026-01-01 06:15:00,10.0,3,0.6769630712601007,0.5240292615617252,0.0
R0387,2026-01-01 06:05:00,2026-01-01 06:15:00,10.0,3,0.675763896033446,0.2956068681309302,0.0
R0295,2026-01-01 06:05:00,2026-01-01 06:15:00,10.0,3,0.6819474159114254,0.4723296339400028,0.0
R0386,2026-01-01 06:05:00,2026-01-01 06:15:00,10.0,3,0.6754685379522284,0.6283271543679918,0.0
R0335,2026-01-01 06:10:00,2026-01-01 06:15:00,5.0,2,0.6778394664839471,0.6446593538918888,0.0
R0381,2026-01-01 06:10:00,2026-01-01 06:15:00,5.0,2,0.6772556888464261,0.438493330197238,0.0
R0435,2026-01-01 06:15:00,2026-01-01 06:40:00,25.0,4,0.5909678676946406,0.5148119607372503,0.0
R0376,2026-01-01 08:35:00,2026-01-01 09:05:00,30.0,5,0.5890922437660578,0.6405217080578881,0.0
R0137,2026-01-01 15:00:00,2026-01-01 15:35:00,35.0,8,0.6262191119780351,0.5474889083094201,0.0
R0074,2026-01-01 21:55:00,2026-01-01 22:35:00,40.0,7,0.6723879702016216,0.33038944456267294,0.0
R0073,2026-01-01 21:55:00,2026-01-01 22:35:00,40.0,6,0.6728422709368472,0.3734010196084071,0.0
R0071,2026-01-01 21:55:00,2026-01-01 22:25:00,30.0,6,0.6731201104772375,0.41185564481802106,0.0
R0070,2026-01-01 21:55:00,2026-01-01 22:35:00,40.0,4,0.679395008138904,0.28435622037442865,0.0
R0069,2026-01-01 21:55:00,2026-01-01 22:30:00,35.0,5,0.6808706474993027,0.46983838583961324,0.0
R0072,2026-01-01 21:55:00,2026-01-01 22:35:00,40.0,7,0.6723879702016216,0.4375032150442023,0.0
R0023,2026-01-01 21:55:00,2026-01-01 21:55:00,0.0,1,0.6805678190586157,0.6226131959643867,0.0
R0067,2026-01-01 21:55:00,2026-01-01 22:30:00,35.0,7,0.4240691975372275,0.02391189738610555,0.0
R0064,2026-01-01 21:55:00,2026-01-01 22:35:00,40.0,5,0.6730246550453114,0.05471614798318203,0.0
R0024,2026-01-01 21:55:00,2026-01-01 22:35:00,40.0,5,0.6769995750265374,0.3633673850013741,0.0
R0063,2026-01-01 21:55:00,2026-01-01 22:20:00,25.0,4,0.6735865662675851,0.2379164288503709,0.0
R0028,2026-01-01 21:55:00,2026-01-01 22:30:00,35.0,6,0.6720934667616858,0.367281859961025,0.0
