candidate_id,target_segment,intervention_type,feasibility_band,cost_index,base_capacity_vph,upgraded_capacity_vph,capacity_delta_vph,baseline_delay_min,upgraded_delay_min,delay_reduction_pct,daily_veh_hours_saved,roi_score,rank
PLAN0194,R0195,signal_retiming,low,2.0,3105.0,3355.0,250.0,0.05,0.04,26.6,5.9,29.51,1
PLAN0171,R0172,turn_lane,low,5.0,2070.0,2520.0,450.0,0.05,0.02,54.5,7.6,15.3,2
PLAN0095,R0096,turn_lane,low,5.0,2070.0,2520.0,450.0,0.05,0.02,54.5,7.6,15.22,3
PLAN0069,R0070,signal_retiming,low,2.0,2070.0,2320.0,250.0,0.03,0.02,36.6,2.4,11.93,4
PLAN0122,R0123,lane_addition,medium,8.0,3105.0,4005.0,900.0,0.03,0.01,63.9,8.8,10.95,5
PLAN0097,R0098,lane_addition,medium,8.0,2070.0,2970.0,900.0,0.04,0.01,76.4,8.3,10.34,6
PLAN0343,R0344,turn_lane,low,5.0,1035.0,1485.0,450.0,0.03,0.01,76.4,3.5,7.0,7
PLAN0057,R0058,lane_addition,medium,8.0,1035.0,1935.0,900.0,0.04,0.0,91.8,5.2,6.55,8
PLAN0345,R0346,capacity_upgrade,medium,12.0,3105.0,3605.0,500.0,0.04,0.02,45.0,7.8,6.49,9
PLAN0310,R0311,lane_addition,medium,8.0,2070.0,2970.0,900.0,0.02,0.01,76.4,4.7,5.93,10
PLAN0333,R0334,signal_retiming,low,2.0,2070.0,2320.0,250.0,0.01,0.01,36.6,0.9,4.67,11
PLAN0032,R0033,signal_retiming,low,2.0,2070.0,2320.0,250.0,0.01,0.01,36.6,0.9,4.25,12
PLAN0055,R0056,signal_retiming,low,2.0,2070.0,2320.0,250.0,0.01,0.01,36.6,0.8,4.17,13
PLAN0124,R0125,capacity_upgrade,medium,12.0,2070.0,2570.0,500.0,0.03,0.01,57.9,4.7,3.88,14
PLAN0132,R0133,capacity_upgrade,medium,12.0,3105.0,3605.0,500.0,0.02,0.01,45.0,4.6,3.8,15
PLAN0376,R0377,capacity_upgrade,medium,12.0,3105.0,3605.0,500.0,0.02,0.01,45.0,4.6,3.8,16
PLAN0080,R0081,turn_lane,low,5.0,1035.0,1485.0,450.0,0.02,0.0,76.4,1.7,3.32,17
PLAN0099,R0100,turn_lane,low,5.0,1035.0,1485.0,450.0,0.01,0.0,76.4,1.6,3.18,18
PLAN0127,R0128,capacity_upgrade,medium,12.0,2070.0,2570.0,500.0,0.02,0.01,57.9,3.3,2.77,19
PLAN0321,R0322,capacity_upgrade,medium,12.0,3105.0,3605.0,500.0,0.02,0.01,45.0,3.0,2.52,20
PLAN0388,R0389,connector,high,18.0,3105.0,3805.0,700.0,0.02,0.01,55.7,3.8,2.1,21
PLAN0424,R0425,lane_addition,medium,8.0,2070.0,2970.0,900.0,0.01,0.0,71.1,1.7,2.07,22
PLAN0293,R0294,connector,high,18.0,3105.0,3805.0,700.0,0.02,0.01,55.7,3.6,1.97,23
PLAN0165,R0166,signal_retiming,low,2.0,2700.0,2950.0,250.0,0.01,0.0,17.6,0.4,1.86,24
PLAN0288,R0289,connector,high,18.0,2070.0,2770.0,700.0,0.02,0.01,68.8,3.3,1.85,25
PLAN0195,R0196,lane_addition,medium,8.0,1035.0,1935.0,900.0,0.01,0.0,91.8,1.5,1.84,26
PLAN0106,R0107,capacity_upgrade,medium,12.0,1035.0,1535.0,500.0,0.02,0.0,79.3,2.1,1.71,27
PLAN0023,R0024,capacity_upgrade,medium,12.0,2070.0,2570.0,500.0,0.02,0.01,57.9,2.0,1.7,28
PLAN0414,R0415,turn_lane,low,5.0,2700.0,3150.0,450.0,0.01,0.0,33.2,0.7,1.48,29
PLAN0298,R0299,capacity_upgrade,medium,12.0,1035.0,1535.0,500.0,0.02,0.0,79.3,1.7,1.41,30
PLAN0277,R0278,connector,high,18.0,1035.0,1735.0,700.0,0.02,0.0,87.3,2.2,1.21,31
PLAN0159,R0160,connector,high,18.0,2070.0,2770.0,700.0,0.01,0.0,68.8,2.2,1.21,32
PLAN0357,R0358,capacity_upgrade,medium,12.0,2070.0,2570.0,500.0,0.01,0.0,57.9,1.4,1.19,33
PLAN0160,R0161,turn_lane,low,5.0,2070.0,2520.0,450.0,0.01,0.0,28.5,0.5,1.08,34
PLAN0193,R0194,connector,high,18.0,2070.0,2770.0,700.0,0.01,0.0,68.8,1.9,1.06,35
